,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Vaini,TO,2020-10-15 19:01:35,-21.2,-175.2,73.4,83,90,8.05,overcast clouds
1,Hofn,IS,2020-10-15 19:05:37,64.25,-15.21,45.03,78,0,5.41,clear sky
2,Matara,LK,2020-10-15 19:02:14,5.95,80.54,79.45,84,95,11.99,moderate rain
3,Lima,PE,2020-10-15 19:05:17,-12.04,-77.03,69.8,64,20,10.29,few clouds
4,Rawson,AR,2020-10-15 19:05:37,-43.3,-65.1,77.56,19,0,17.16,clear sky
5,Winnemucca,US,2020-10-15 19:05:37,40.97,-117.74,55.4,30,1,14.99,clear sky
6,Castro,BR,2020-10-15 19:05:38,-24.79,-50.01,65.39,92,100,5.17,light rain
7,Punta Arenas,CL,2020-10-15 19:05:38,-53.15,-70.92,55.4,47,75,41.38,broken clouds
8,Guerrero Negro,MX,2020-10-15 19:05:38,27.98,-114.06,88.72,42,97,4.12,overcast clouds
9,Srandakan,ID,2020-10-15 19:05:38,-7.94,110.25,77.02,88,100,5.57,light rain
10,Pevek,RU,2020-10-15 19:05:38,69.7,170.31,34.74,86,100,13.58,overcast clouds
11,Kodinsk,RU,2020-10-15 19:05:38,58.69,99.18,28.47,94,100,10.74,overcast clouds
12,Ushuaia,AR,2020-10-15 19:02:19,-54.8,-68.3,57.2,77,40,20.8,scattered clouds
13,Kapuskasing,CA,2020-10-15 19:00:52,49.42,-82.43,39.2,86,90,20.8,light rain
14,Atuona,PF,2020-10-15 19:05:38,-9.8,-139.03,78.58,71,0,20.54,clear sky
15,Albany,US,2020-10-15 19:05:39,42.6,-73.97,73.0,45,22,12.73,few clouds
16,Bengkulu,ID,2020-10-15 19:01:50,-3.8,102.27,76.82,83,100,2.44,overcast clouds
17,Busselton,AU,2020-10-15 19:05:39,-33.65,115.33,53.01,58,100,11.03,overcast clouds
18,Norman Wells,CA,2020-10-15 19:05:39,65.28,-126.83,17.6,85,75,9.17,broken clouds
19,Hobart,AU,2020-10-15 19:05:39,-42.88,147.33,44.6,65,90,10.29,overcast clouds
20,Severnoye,RU,2020-10-15 19:05:39,56.35,78.36,31.98,97,0,4.59,clear sky
21,Qaanaaq,GL,2020-10-15 19:05:39,77.48,-69.36,27.37,85,55,5.7,broken clouds
22,Mataura,NZ,2020-10-15 19:05:39,-46.19,168.86,36.18,78,95,3.38,overcast clouds
23,Sung Noen,TH,2020-10-15 19:05:39,14.9,101.82,75.07,93,99,3.44,overcast clouds
24,Rikitea,PF,2020-10-15 19:01:44,-23.12,-134.97,73.98,77,100,19.62,overcast clouds
25,Lake Charles,US,2020-10-15 19:05:40,30.21,-93.2,84.99,62,75,13.87,broken clouds
