City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
2,Matara,LK,79.45,moderate rain,5.95,80.54,Amaloh Boutique Resort
4,Rawson,AR,77.56,clear sky,-43.3,-65.1,Hotel Punta León
8,Guerrero Negro,MX,88.72,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
9,Srandakan,ID,77.02,light rain,-7.94,110.25,Puri Brata
14,Atuona,PF,78.58,clear sky,-9.8,-139.03,Villa Enata
16,Bengkulu,ID,76.82,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
23,Sung Noen,TH,75.07,overcast clouds,14.9,101.82,ฉัตรทิพย์ รีสอร์ท
25,Lake Charles,US,84.99,broken clouds,30.21,-93.2,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
26,Batticaloa,LK,80.11,moderate rain,7.71,81.69,Grand Star Guest House
31,Sinnamary,GF,85.86,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
34,Faanui,PF,78.69,moderate rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Pinotepa Nacional,MX,89.4,clear sky,16.32,-98.02,Hotel Maria Del Carmen
39,Kapaa,US,77.0,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
44,Jaguariuna,BR,75.0,light rain,-22.71,-46.99,Hotel Matiz Jaguariúna
46,Arrah,IN,77.0,mist,25.57,84.67,SPOT ON 48440 Ara Exotica SPOT
47,Kayankulam,IN,77.7,moderate rain,9.18,76.5,Hotel Royal Indraprastha
48,Lahij,YE,82.85,broken clouds,13.17,44.58,
49,Pochutla,MX,87.55,overcast clouds,15.74,-96.47,Hotel Posada San Jose
55,Yarada,IN,80.6,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
57,Vinh,VN,75.16,heavy intensity rain,18.67,105.67,Hotels Shanghai
63,La Libertad,EC,77.0,broken clouds,-2.23,-80.9,Playa Canela Hotel Boutique
66,Numan,NG,81.55,overcast clouds,9.47,12.03,Zangun Motel
71,Hilo,US,78.8,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
73,Yenagoa,NG,75.74,overcast clouds,4.92,6.26,Amba Hotels Limited
74,Kilindoni,TZ,78.4,light rain,-7.91,39.67,Bustani B&B
83,Kalbay,PH,78.28,overcast clouds,5.72,125.5,
86,Esmeraldas,BR,77.0,thunderstorm,-19.76,-44.31,Hotel Fazenda Lagoa Azul
87,Kavieng,PG,82.0,scattered clouds,-2.57,150.8,Nusa Island Retreat
92,Caravelas,BR,80.4,broken clouds,-17.71,-39.25,Pousada dos Navegantes
93,Arraial Do Cabo,BR,77.0,few clouds,-22.97,-42.03,Pousada Porto Praia
96,Nouadhibou,MR,78.8,clear sky,20.93,-17.03,El Medina
98,San Quintin,MX,84.76,clear sky,30.48,-115.95,Old Mill Hotel
99,Parrita,CR,78.8,few clouds,9.52,-84.32,Beso del Viento
107,Itarema,BR,83.88,overcast clouds,-2.92,-39.92,Windvillage
108,Butaritari,KI,81.77,overcast clouds,3.07,172.79,Isles Sunset Lodge
110,Mormugao,IN,78.8,drizzle,15.4,73.8,Coconut Creek Resort
113,Namatanai,PG,79.3,broken clouds,-3.67,152.43,Namatanai Hotel
115,Kieta,PG,78.13,broken clouds,-6.22,155.63,
122,Los Llanos De Aridane,ES,75.2,overcast clouds,28.66,-17.92,Valle Aridane
123,Kaduna,NG,79.12,scattered clouds,10.52,7.44,HAMDALA HOTEL
125,Edd,ER,84.7,clear sky,13.93,41.69,
131,Los Algarrobos,PA,87.8,scattered clouds,8.5,-82.43,Waterfall Hostel
133,Sao Joao Da Barra,BR,80.6,moderate rain,-21.64,-41.05,Pousada Porto De Canoas
135,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
143,Joao Camara,BR,86.0,scattered clouds,-5.54,-35.82,Pousada Miguel Teixeira
148,Cartagena,CO,87.8,scattered clouds,10.4,-75.51,Costa Del Sol
152,Hithadhoo,MV,82.47,overcast clouds,-0.6,73.08,Scoop Guest House
155,Madimba,TZ,75.9,scattered clouds,-10.4,40.33,
158,Puerto Ayora,EC,78.8,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
159,Kano,NG,78.8,few clouds,12.0,8.52,La Sultana Hotel
161,Bambous Virieux,MU,75.0,broken clouds,-20.34,57.76,Casa Tia Villa
163,Tautira,PF,82.4,shower rain,-17.73,-149.15,Pension Oaoa
165,Saint George,US,79.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
169,Grand Gaube,MU,75.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
170,Kaputa,ZM,78.3,scattered clouds,-8.47,29.66,Chelelwa Charlets
171,Pringsewu,ID,75.29,overcast clouds,-5.36,104.97,Urban Style by Front One
176,Pangoa,PE,84.09,light rain,-12.12,-73.0,
178,Olinda,BR,84.2,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
180,Ajdabiya,LY,82.71,overcast clouds,30.76,20.23,الحاج سليمان الشترة
186,Kirakira,SB,77.45,scattered clouds,-10.45,161.92,SanBiz Lodge
187,Tierralta,CO,85.42,light rain,8.17,-76.06,montevideo
190,Meulaboh,ID,76.91,overcast clouds,4.14,96.13,Kost Pria
196,Quang Ngai,VN,77.07,light rain,15.12,108.8,Central Hotel
197,Veraval,IN,84.97,light rain,20.9,70.37,Lords Inn Somnath
201,Belmonte,BR,82.4,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
202,Victoria,HK,79.0,overcast clouds,22.29,114.16,Mini Hotel Central
203,Kahului,US,80.6,clear sky,20.89,-156.47,Maui Seaside Hotel
204,Bac Lieu,VN,78.53,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
205,Binga,ZW,79.11,clear sky,-17.62,27.34,Lakeview Inn Binga
208,Lufilufi,WS,77.0,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
209,Sao Filipe,CV,81.75,light rain,14.9,-24.5,Tortuga B&B
210,Puerto El Triunfo,SV,89.6,few clouds,13.28,-88.55,Hotel Jardin
217,Gizo,SB,81.32,broken clouds,-8.1,156.84,Imagination Island
218,Kalmunai,LK,80.17,broken clouds,7.42,81.82,VS Villa
222,Ternate,ID,77.92,light rain,0.8,127.4,Grand Dafam Bela Ternate
226,Waingapu,ID,78.06,broken clouds,-9.66,120.26,Pondok Wisata Elim
230,Quatre Cocos,MU,75.0,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
