City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cartagena,CO,2020-10-14 18:44:51,10.4,-75.51,82.4,83,40,3.36
1,Lompoc,US,2020-10-14 18:44:33,34.64,-120.46,91.99,25,1,8.05
2,Punta Arenas,CL,2020-10-14 18:47:17,-53.15,-70.92,50.0,53,75,23.04
3,Dikson,RU,2020-10-14 18:47:18,73.51,80.55,29.12,92,100,23.4
4,Vaini,TO,2020-10-14 18:47:18,-21.2,-175.2,71.6,78,90,9.17
5,Tucurui,BR,2020-10-14 18:47:18,-3.77,-49.67,93.11,41,100,2.77
6,Saskylakh,RU,2020-10-14 18:47:18,71.92,114.08,14.74,95,100,16.06
7,Mataura,NZ,2020-10-14 18:47:18,-46.19,168.86,34.0,93,0,2.46
8,Dunedin,NZ,2020-10-14 18:46:12,-45.87,170.5,41.0,70,0,1.99
9,Mar Del Plata,AR,2020-10-14 18:47:18,-38.0,-57.56,59.0,44,0,20.8
10,Port-Cartier,CA,2020-10-14 18:47:18,50.03,-66.87,48.2,100,90,13.87
11,Okhotsk,RU,2020-10-14 18:47:18,59.38,143.3,30.51,90,100,13.22
12,Wana,PK,2020-10-14 18:47:19,32.3,69.57,63.27,30,0,4.79
13,Tazovskiy,RU,2020-10-14 18:47:19,67.47,78.7,31.87,93,99,21.0
14,Tezu,IN,2020-10-14 18:47:19,27.92,96.17,76.35,60,0,3.36
15,Port Blair,IN,2020-10-14 18:47:19,11.67,92.75,80.83,81,100,12.91
16,Hermanus,ZA,2020-10-14 18:47:19,-34.42,19.23,62.01,73,0,4.0
17,Cape Town,ZA,2020-10-14 18:44:12,-33.93,18.42,61.0,82,0,6.93
18,Teknaf,BD,2020-10-14 18:47:19,20.86,92.31,79.11,85,36,4.25
19,Lavrentiya,RU,2020-10-14 18:47:19,65.58,-171.0,30.47,91,99,8.95
20,New Norfolk,AU,2020-10-14 18:47:19,-42.78,147.06,52.0,68,100,1.01
21,Iracoubo,GF,2020-10-14 18:47:20,5.48,-53.2,85.05,65,0,11.7
22,Albany,US,2020-10-14 18:45:34,42.6,-73.97,68.0,34,2,9.06
23,Shitanjing,CN,2020-10-14 18:47:20,39.23,106.34,42.85,56,0,3.38
